sensorID,date time,battery,co2,humidity,temperature
lw-ms-ambi-01,2025-01-21T08:04:40.164664Z,73,299,54.5,17.3
lw-ms-ambi-02,2025-01-21T08:06:43.647886Z,74,500,53.5,18.3
lw-ms-ambi-03,2025-01-21T08:08:42.228124Z,77,348,56.5,15.6
lw-ms-ambi-01,2025-01-21T08:14:42.090279Z,73,292,54.5,17.3
lw-ms-ambi-02,2025-01-21T08:16:43.731144Z,74,496,53.5,18.3
lw-ms-ambi-03,2025-01-21T08:18:43.471654Z,77,358,56,15.6
lw-ms-ambi-01,2025-01-21T08:24:40.309608Z,73,277,54.5,17.3
lw-ms-ambi-02,2025-01-21T08:26:45.681710Z,74,496,53.5,18.3
lw-ms-ambi-03,2025-01-21T08:28:39.993221Z,77,356,56,15.6
lw-ms-ambi-01,2025-01-21T08:34:38.271721Z,73,287,54.5,17.3
lw-ms-ambi-02,2025-01-21T08:36:45.006534Z,74,495,53.5,18.3
lw-ms-ambi-03,2025-01-21T08:38:43.972150Z,77,370,56.5,15.6
lw-ms-ambi-01,2025-01-21T08:44:39.139086Z,73,287,54.5,17.4
lw-ms-ambi-02,2025-01-21T08:46:46.318903Z,74,491,53.5,18.3
lw-ms-ambi-03,2025-01-21T08:48:42.633545Z,77,362,57,15.6
lw-ms-ambi-01,2025-01-21T08:54:38.104471Z,73,294,54.5,17.4
lw-ms-ambi-02,2025-01-21T08:56:44.130165Z,74,475,53.5,18.3
lw-ms-ambi-03,2025-01-21T08:58:43.182073Z,77,358,56,15.6
lw-ms-ambi-01,2025-01-21T09:04:38.290299Z,73,274,54.5,17.5
lw-ms-ambi-02,2025-01-21T09:06:45.519113Z,74,489,53.5,18.3
lw-ms-ambi-03,2025-01-21T09:08:38.666364Z,77,361,56,15.6
lw-ms-ambi-01,2025-01-21T09:14:42.904150Z,73,288,54.5,17.5
lw-ms-ambi-02,2025-01-21T09:16:46.233344Z,74,485,53.5,18.3
lw-ms-ambi-03,2025-01-21T09:18:44.050882Z,77,351,56,15.6
lw-ms-ambi-01,2025-01-21T09:24:41.297240Z,73,294,54,17.5
lw-ms-ambi-02,2025-01-21T09:26:44.656412Z,74,473,53.5,18.3
lw-ms-ambi-03,2025-01-21T09:28:40.744248Z,77,352,56,15.6
lw-ms-ambi-01,2025-01-21T09:34:38.499193Z,73,291,54.5,17.5
lw-ms-ambi-02,2025-01-21T09:36:44.065951Z,74,467,53.5,18.3
lw-ms-ambi-03,2025-01-21T09:38:41.175545Z,77,361,56,15.6
lw-ms-ambi-02,2025-01-21T09:46:44.795144Z,74,463,53.5,18.3
lw-ms-ambi-03,2025-01-21T09:48:42.753855Z,77,353,56.5,15.6
lw-ms-ambi-01,2025-01-21T09:54:38.534662Z,73,291,54.5,17.5
lw-ms-ambi-02,2025-01-21T09:56:45.978656Z,74,458,53.5,18.3
lw-ms-ambi-03,2025-01-21T09:58:40.144774Z,77,357,56,15.6
